"","QE_I01","NT_GER","NT_FG","QE_I25"
"1642","A",64.2,71,"H"
"1643","A",60.2,37.5,"E"
"1644","B",38.6,54.9,"H"
"1645","A",69.2,74.8,"A"
"1646","A",54.3,55.8,"B"
"1647","A",60.8,66.7,"E"
"1648","B",34.8,51.4,"B"
"1649","B",46.9,41,"H"
"1650","A",47.6,39.2,"C"
"1651","B",39.7,38.6,"E"
"1652","A",48.2,54.4,"A"
"1653","B",33.9,71,"E"
"1654","A",47,77,"A"
"1655","A",51.2,36.4,"H"
"1656","A",55.3,46.7,"A"
"1657","A",79.5,66.5,"H"
"1658","A",62.5,51.5,"H"
"1659","A",50.4,37.8,"E"
"1660","A",32.8,25.2,"A"
"1661","A",27.1,46.4,"H"
"1662","A",62.3,48.9,"E"
"1663","A",38.1,53.6,"E"
"1664","B",38.3,54.9,"A"
"1665","A",48.6,52,"A"
"1666","A",51.8,64.8,"A"
"1667","A",51.1,66.7,"A"
"1668","A",50.1,55.3,"A"
"1669","A",41.9,52.9,"H"
"1670","A",46.7,53.3,"G"
"1671","A",34.9,61.7,"A"
"1672","A",NA,NA,"C"
