"","QE_I01","NT_GER","NT_FG","QE_I25"
"417","A",62.2,86.7,"E"
"418","A",54.6,70.9,"A"
"419","A",41.4,54.9,"E"
"420","A",69.6,68,"B"
"421","A",56.7,64.1,"A"
"422","A",50,49.8,"B"
"423","A",70.1,85.5,"A"
"424","A",39.1,75.6,"H"
"425","A",60.8,67.1,"A"
"426","A",67.8,62.9,"A"
"427","A",54.3,56.8,"E"
"428","A",65,60.7,"A"
"429","A",66.8,80.1,"A"
"430","A",46.3,37.5,"H"
"431","A",45.1,55.8,"C"
"432","A",73.6,45,"C"
"433","A",73.4,60.2,"H"
"434","A",26.9,36,"E"
"435","A",69.9,68.6,"C"
"436","A",55.9,84.1,"E"
"437","A",42.1,39.4,"A"
"438","A",46.1,44.1,"A"
"439","A",48.7,67.9,"E"
"440","A",69.8,74.4,"H"
"441","A",54.2,82.2,"C"
"442","A",65.1,45,"D"
"443","A",51.5,49.5,"E"
"444","A",49.2,62.8,"E"
"445","A",45.5,56.4,"E"
"446","A",53.9,64,"E"
"447","A",70.3,79.8,"A"
"448","A",53.5,66.3,"E"
"449","A",59.7,67.2,"E"
"450","A",44.9,28.9,"E"
"451","A",56.4,59,"E"
"452","A",71.1,72.4,"A"
"453","A",50.9,61.9,"A"
"454","A",58.1,65.1,"D"
"455","A",59.5,59.4,"C"
"456","A",62.1,65.5,"A"
"457","A",70.8,78.8,"A"
"458","A",70.8,68.5,"E"
"459","A",72.4,70.2,"A"
"460","A",66.3,80.3,"H"
"461","A",77.4,78.9,"E"
"462","A",56.7,76.2,"A"
"463","A",61.3,62,"E"
"464","A",69,79,"B"
"465","A",73.6,78.9,"A"
"466","A",58.9,68.9,"E"
"467","A",45.7,59.6,"E"
"468","A",52.4,85.1,"E"
"469","A",50.6,78.4,"E"
"470","A",51.6,75,"A"
"471","A",57.7,54.1,"A"
"472","A",60.5,45,"C"
"473","A",45.4,67.4,"E"
"474","A",63.7,73.3,"E"
"475","A",52.1,54,"E"
"476","A",49.7,72,"A"
"477","A",28.9,57.8,"E"
"478","A",51.6,67.4,"E"
"479","A",41.3,37.5,"A"
"480","A",45.2,56.2,"A"
"481","A",59.9,93,"A"
"482","A",55.4,40.6,"E"
"483","A",34.8,49.9,"G"
"484","A",46.8,83.1,"E"
"485","A",33.8,48.2,"E"
"486","A",42,46.5,"C"
"487","A",47.9,70.8,"H"
"488","A",47.2,82.9,"A"
"489","A",56.6,80.7,"H"
"490","A",32,56.7,"A"
"491","A",55.2,81.2,"A"
"492","A",45.8,59.1,"C"
"493","A",31.1,58.2,"E"
"494","A",44.3,54.5,"C"
"495","A",57.6,74,"A"
"496","A",55,82,"H"
"497","A",52.1,48.8,"A"
